Theme,Class_Label,Valence_mean,Arousal_mean
Dog 6.jpg,Joy,6.49,5.03
Lake 12.jpg,Joy,6.38,4.73
Beach 1.jpg,Joy,6.37,4.74
Lake 14.jpg,Joy,6.31,4.66
Fireworks 2.jpg,Joy,6.27,4.98
Rainbow 2.jpg,Joy,6.26,4.9
Lake 15.jpg,Joy,6.25,4.63
Cat 5.jpg,Joy,6.22,4.86
Penguins 2.jpg,Joy,6.21,4.65
Dog 18.jpg,Joy,6.2,4.88
Fireworks 6.jpg,Joy,6.11,4.78
Fireworks 3.jpg,Joy,6.09,4.63
Galaxy 7.jpg,Joy,6.06,4.5
Dog 5.jpg,Joy,5.94,4.67
Astronaut 1.jpg,Joy,5.71,4.57
Galaxy 8.jpg,Joy,5.52,4.57
Rollercoaster 1.jpg,Joy,5.45,4.71
Skydiving 2.jpg,Joy,5.33,4.6
Sailing 2.jpg,Joy,5.3,4.56
Rafting 5.jpg,Joy,5.19,4.83
Miserable pose 3.jpg,Fear,1.11,5.15
Dummy 1.jpg,Fear,1.16,5.2
Dead bodies 1.jpg,Fear,1.2,4.51
KKK rally 2.jpg,Fear,1.25,4.98
Dog 26.jpg,Fear,1.3,4.86
Dead bodies 3.jpg,Fear,1.32,5.13
KKK rally 1.jpg,Fear,1.34,4.7
Injury 4.jpg,Fear,1.39,5.47
War 6.jpg,Fear,1.39,5.02
Tumor 1.jpg,Fear,1.4,4.94
Fire 9.jpg,Fear,1.47,5.15
Dirt 1.jpg,Fear,1.61,4.98
War 8.jpg,Fear,1.72,5.14
Fire 5.jpg,Fear,1.74,5.29
Fire 7.jpg,Fear,1.74,4.6
Fire 11.jpg,Fear,1.75,5.32
Scary face 1.jpg,Fear,1.78,4.52
Bloody knife 1.jpg,Fear,1.84,4.54
Car crash 1.jpg,Fear,1.85,4.55
Dog 24.jpg,Fear,1.89,4.77
Bird 3.jpg,Relax,6.04,3.43
Lake 3.jpg,Relax,5.96,3.22
Flowers 2.jpg,Relax,5.95,3.46
Flowers 6.jpg,Relax,5.94,3.01
Picnic 2.jpg,Relax,5.91,3.47
Bird 1.jpg,Relax,5.91,3.01
Dancing 7.jpg,Relax,5.87,3.38
Gazing 6.jpg,Relax,5.84,3.49
Wedding 4.jpg,Relax,5.81,3.12
Couple 9.jpg,Relax,5.81,3.44
Sunset 6.jpg,Relax,5.81,3.33
Lake 4.jpg,Relax,5.79,3.28
Birthday 1.jpg,Relax,5.78,3.46
Dessert 8.jpg,Relax,5.77,3.37
Excited face 3.jpg,Relax,5.76,3.47
Dessert 2.jpg,Relax,5.74,3.25
Excited face 6.jpg,Relax,5.73,3.48
Flowers 7.jpg,Relax,5.68,3.5
Eating 1.jpg,Relax,5.68,3.48
Camping 4.jpg,Relax,5.66,3.23
Garbage dump 6.jpg,Sad,1.96,3.32
Garbage dump 3.jpg,Sad,2.0,3.47
Garbage dump 8.jpg,Sad,2.06,3.15
Jail 4.jpg,Sad,2.11,3.43
Garbage dump 5.jpg,Sad,2.14,3.33
Feces 1.jpg,Sad,2.14,3.07
Destruction 2.jpg,Sad,2.19,3.06
Garbage dump 1.jpg,Sad,2.2,2.86
Hangover 1.jpg,Sad,2.42,3.35
Miserable pose 1.jpg,Sad,2.56,3.44
Hallway 1.jpg,Sad,2.61,3.38
Prison 2.jpg,Sad,2.62,3.18
Frustrated pose 2.jpg,Sad,2.64,3.49
Depressed pose 1.jpg,Sad,2.69,3.45
Frustrated pose 7.jpg,Sad,2.7,3.25
Garbage dump 7.jpg,Sad,2.74,2.48
Miserable pose 2.jpg,Sad,2.8,3.16
Sad pose 4.jpg,Sad,2.84,3.32
Fence 4.jpg,Sad,2.88,3.16
Miserable pose 5.jpg,Sad,2.95,3.45
Scared face 1.jpg,Neutral,3.89,3.2
Depressed face 1.jpg,Neutral,3.76,3.07
Excited face 4.jpg,Neutral,4.25,3.09
Bored pose 5.jpg,Neutral,3.8,3.04
Frustrated pose 8.jpg,Neutral,3.74,3.37
Sad pose 2.jpg,Neutral,3.6,3.29
Child labor 4.jpg,Neutral,4.02,3.04
Camping 6.jpg,Neutral,3.88,3.14
Soldiers 6.jpg,Neutral,4.09,3.43
Gazing 4.jpg,Neutral,4.49,3.01
Child labor 1.jpg,Neutral,4.26,3.28
Scared face 2.jpg,Neutral,3.77,3.2
Depressed face 2.jpg,Neutral,3.82,3.02
City 1.jpg,Neutral,4.44,3.14
Rugby 1.jpg,Neutral,4.22,3.98
Cold 1.jpg,Neutral,3.99,3.48
Doctor 5.jpg,Neutral,3.68,3.64
Car race 2.jpg,Neutral,4.37,3.59
Car race 3.jpg,Neutral,4.4,3.69
Miserable face 1.jpg,Neutral,3.52,3.44
